City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,zemio,5.0314,25.1361,23.36,31,55,0.51,CF,1674963117
424,constantine,36.365,6.6147,0.67,93,40,0.51,DZ,1674963117
425,pavlogradka,54.2024,73.5592,-12.89,97,89,3.74,RU,1674963118
426,zyryanka,65.75,150.85,-34.15,98,41,2.21,RU,1674963118
427,belmonte,-15.8631,-38.8828,24.49,85,17,1.82,BR,1674963118
428,tasiilaq,65.6145,-37.6368,-4.91,95,100,1.36,GL,1674963119
429,alyangula,-13.8483,136.4192,29.97,72,100,6.1,AU,1674963119
430,solano,38.2333,-121.9511,11.18,78,0,4.63,US,1674963120
431,santa maria,-29.6842,-53.8069,21.61,100,75,1.03,BR,1674963061
432,sao sebastiao,-23.76,-45.4097,24.13,91,100,1.47,BR,1674963120
433,flin flon,54.7682,-101.865,-24.05,88,100,4.45,CA,1674963120
434,shingu,33.7333,135.9833,7.55,49,83,6.0,JP,1674963121
435,inuvik,68.3499,-133.7218,-17.52,78,100,2.06,CA,1674963121
436,siloam springs,36.1881,-94.5405,10.67,92,100,4.63,US,1674963061
437,macklin,52.3334,-109.9348,-18.81,90,100,7.28,CA,1674963122
438,mlimba,-8.8,35.8167,20.6,96,12,0.54,TZ,1674963122
439,paka,4.6374,103.4368,25.21,94,40,1.54,MY,1674963123
440,tabuk,17.4189,121.4443,19.26,87,100,2.64,PH,1674963123
441,alice springs,-23.7,133.8833,31.23,40,75,8.23,AU,1674963123
442,maues,-3.3836,-57.7186,22.7,97,100,1.1,BR,1674963124
443,beloha,-25.1667,45.05,24.71,86,100,9.08,MG,1674963124
444,muswellbrook,-32.2667,150.9,36.45,25,73,2.58,AU,1674963125
445,verkhnyaya inta,65.9811,60.3094,-8.92,95,100,2.63,RU,1674963125
446,port moresby,-9.4431,147.1797,28.85,74,96,3.1,PG,1674963125
447,itoman,26.1247,127.6694,15.22,51,75,4.63,JP,1674963126
448,ilhabela,-23.7781,-45.3581,24.38,89,100,1.44,BR,1674963126
449,san felipe,10.3399,-68.7425,20.76,88,71,1.72,VE,1674963127
450,oum hadjer,13.2954,19.6966,24.24,13,100,3.66,TD,1674963127
451,tautira,-17.7333,-149.15,27.15,75,14,5.3,PF,1674963128
452,roald,62.5833,6.1333,7.09,87,100,9.26,NO,1674963128
453,salalah,17.0151,54.0924,17.05,48,0,7.72,OM,1674963128
454,jaboticabal,-21.2547,-48.3222,20.28,96,99,1.84,BR,1674963129
455,manokwari,-0.8667,134.0833,25.36,87,100,0.3,ID,1674963129
456,mujiayingzi,42.1167,118.7833,-4.37,43,0,8.64,CN,1674963130
457,townsville,-19.25,146.8,29.49,79,40,7.72,AU,1674963095
458,hounde,11.5,-3.5167,20.1,14,30,2.44,BF,1674963130
459,guerrero negro,27.9769,-114.0611,14.4,67,8,3.91,MX,1674963131
460,saint anthony,45.0205,-93.218,-15.22,67,0,4.12,US,1674963131
461,assiniboia,49.6334,-105.9845,-22.1,71,100,7.2,CA,1674963131
462,bucyrus,40.8084,-82.9755,6.29,70,90,6.41,US,1674963132
463,boda,4.3189,17.4695,21.99,50,47,1.1,CF,1674963132
464,cabedelo,-6.9811,-34.8339,24.37,70,14,4.09,BR,1674963133
465,port hawkesbury,45.6169,-61.3485,3.26,86,100,4.92,CA,1674963133
466,inongo,-1.95,18.2667,22.0,89,100,1.38,CD,1674963133
467,aksu,41.1231,80.2644,-9.01,80,39,1.23,CN,1674963134
468,vigia del fuerte,6.5789,-76.8863,22.91,93,12,1.13,CO,1674963134
469,portadown,54.4241,-6.4412,4.34,89,97,4.13,GB,1674963135
470,provideniya,64.3833,-173.3,-2.85,95,100,1.8,RU,1674963135
471,heihe,50.2441,127.4902,-27.68,90,98,1.4,CN,1674963136
472,larsnes,62.2028,5.5773,6.92,91,100,11.4,NO,1674963136
473,huilong,31.8111,121.655,7.18,35,0,6.71,CN,1674963137
474,jasper,37.2001,-94.3502,10.69,78,20,3.6,US,1674963137
475,asau,46.4333,26.4,-1.49,93,94,1.96,RO,1674963137
476,termoli,41.9888,14.9895,5.99,71,100,5.14,IT,1674963138
477,havre-saint-pierre,50.2334,-63.5986,-2.0,80,100,12.35,CA,1674963138
478,gizo,-8.103,156.8419,28.94,71,60,2.23,SB,1674963139
479,darhan,49.4867,105.9228,-14.82,83,21,1.36,MN,1674963139
480,dordrecht,51.81,4.6736,4.47,87,100,0.89,NL,1674963140
481,port-cartier,50.0334,-66.8654,-8.18,74,51,6.79,CA,1674963140
482,faya,18.3851,42.4509,7.29,83,1,0.39,SA,1674963141
483,fort myers beach,26.452,-81.9481,21.03,81,100,4.63,US,1674963141
484,nizhneangarsk,55.7833,109.55,-14.83,85,88,0.71,RU,1674963142
485,leh,34.1667,77.5833,-7.83,76,100,1.62,IN,1674963024
486,iberia,29.9502,-91.7507,18.04,79,68,6.26,US,1674963142
487,flinders,-34.5833,150.8552,24.25,82,100,1.0,AU,1674963143
488,wewak,-3.5534,143.6268,29.89,66,100,3.27,PG,1674963143
489,narsaq,60.9167,-46.05,-9.88,82,7,3.67,GL,1674963144
490,kamaishi,39.2667,141.8833,-0.35,51,69,5.67,JP,1674963144
491,yangambi,0.8102,24.4336,20.07,96,72,0.82,CD,1674963145
492,west wendover,40.7391,-114.0733,0.56,80,75,0.0,US,1674963145
493,balkhash,46.844,74.9804,-17.66,71,0,4.0,KZ,1674963145
494,ostersund,63.1792,14.6357,0.34,80,75,2.68,SE,1674963146
495,shenzhen,22.5455,114.0683,15.08,27,4,4.11,CN,1674963146
